Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$17.54,0.0173,0.099%,35927515.00,United States,,1103,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.4713,-0.0107,-2.22%,64672450.00,Canada,2015,346351,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$42.29,-0.03,-0.071%,147318357.00,United States,1988,32915,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$11.76,0.04,0.341%,18179596.00,United States,,785130,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.73,0.12,1.249%,139868750.00,United States,2021,7111,,
AE,Adams Resources & Energy Inc. Common Stock,$27.61,-0.265,-0.951%,117370524.00,United States,,4671,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.96,0.00,0.00%,454735931.00,United States,,17668,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$1.30,-0.11,-7.801%,49315614.00,,2018,133607,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.05,-0.01,-0.485%,81364525.00,United States,,290208,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$21.631,-0.319,-1.453%,65101588.00,United States,2014,3466,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.34,-0.06,-4.286%,42930313.00,United States,,217636,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$2.55,-0.13,-4.851%,59220359.00,China,,136342,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$1.58,-0.05,-3.067%,309188822.00,United States,,623298,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.98,-0.05,-1.65%,17286980.00,United States,,60066,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$120.97,3.71,3.164%,840411131.00,United States,2020,738857,Health Care,Major Pharmaceuticals
APT,Alpha Pro Tech Ltd. Common Stock,$7.57,0.49,6.921%,100925140.00,Canada,,2107254,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$3.881,-0.089,-2.242%,96793855.00,United States,,10839,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.09,0.01,0.926%,109946168.00,Canada,,608547,,
ASXC,Asensus Surgical Inc. Common Stock,$2.46,-0.13,-5.019%,573723212.00,United States,,3977154,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$6.98,-0.26,-3.591%,140960186.00,United States,,189915,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.5923,-0.0006,-0.101%,96230751.00,United States,,423479,,
AWX,Avalon Holdings Corporation Common Stock,$4.61,0.09,1.991%,17976377.00,United States,,184773,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.22,0.02,0.909%,334514537.00,Canada,,550319,Basic Industries,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$12.185,-0.345,-2.753%,198220669.00,,,7773,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$31.78,0.17,0.538%,175355239.00,United States,,7945,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.85,0.175,0.682%,,United States,,8522,,
BDL,Flanigan's Enterprises Inc. Common Stock,$33.00,-0.01,-0.03%,61335351.00,United States,,4553,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.40,-0.02,-1.408%,16744707.00,United States,,771628,Capital Goods,Industrial Machinery/Components
BGI,Birks Group Inc. Common Stock,$2.27,-0.18,-7.347%,41606701.00,Canada,,138775,Consumer Services,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$27.65,-0.26,-0.932%,414067045.00,United States,,48844,Finance,Major Banks
BKTI,BK Technologies Corporation Common Stock,$3.19,-0.01,-0.313%,53546450.00,United States,,40755,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$11.90,-0.38,-3.094%,145184498.00,,2018,27047,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$18.03,-0.19,-1.043%,503615655.00,,,33523,Finance,Commercial Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$10.62,-0.20,-1.848%,314663007.00,,2014,239571,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.6199,-0.0301,-0.117%,,,,6091,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.65,0.00,0.00%,,,,6038,,
BRN,Barnwell Industries Inc. Common Stock,$2.57,0.09,3.629%,21272301.00,United States,,350677,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.00,0.05,1.266%,4207794916.00,Canada,,10750773,Basic Industries,Precious Metals
BTN,Ballantyne Strong Inc. Common Stock,$4.35,-0.21,-4.605%,79611716.00,United States,,69726,Miscellaneous,Industrial Machinery/Components
BTTR,Better Choice Company Inc. Common Stock,$4.65,0.15,3.333%,0.00,,2021,266046,,
BTX,Brooklyn ImmunoTherapeutics Inc. Common Stock,$11.97,-0.30,-2.445%,510935596.00,United States,,1710134,Consumer Services,Broadcasting
BWL/A,Bowl America Inc.,$9.00,-0.03,-0.332%,,United States,,2005,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.23,-0.02,-0.889%,38337141.00,Israel,,68918,Health Care,Major Pharmaceuticals
CCF,Chase Corporation Common Stock,$111.18,2.21,2.028%,1050469888.00,United States,,37233,Basic Industries,Paints/Coatings
CDOR,Condor Hospitality Trust Inc. Common Stock,$6.13,-0.04,-0.648%,73725204.00,United States,,17810,Consumer Services,Real Estate Investment Trusts
CEI,Camber Energy Inc. Common Stock,$0.5486,-0.0459,-7.721%,32068580.00,United States,,17717461,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$42.33,-0.30,-0.704%,1110756259.00,United States,,10934,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$14.08,0.08,0.571%,100440736.00,United States,1999,15945,Finance,Finance/Investors Services
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,$10.10,0.00,0.00%,108860881.00,,2020,11,,
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$9.94,0.02,0.202%,118623960.00,,2021,1266,Finance,Business Services
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.49,-0.01,-0.286%,182544202.00,United States,,2030151,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$21.13,-0.27,-1.262%,262036447.00,United States,1998,2800,Miscellaneous,Diversified Manufacture
CKX,CKX Lands Inc. Common Stock,$12.28,0.00,0.00%,23853839.00,United States,,21,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$11.92,0.01,0.084%,925855425.00,United States,1987,1237819,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$12.55,0.29,2.365%,152091229.00,Canada,,125811,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$15.795,0.015,0.095%,134012314.00,United States,,7065,Consumer Durables,Electronic Components
COHN,Cohen & Company Inc.,$21.03,-0.67,-3.088%,27907588.00,United States,,756066,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,$0.7267,0.0237,3.371%,31669264.00,China,,600761,Health Care,Major Pharmaceuticals
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$44.09,-0.93,-2.066%,21340491313.00,United States,2007,119622,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$11.55,-0.01,-0.087%,474053672.00,United States,,699235,Finance,Finance/Investors Services
CTEK,CynergisTek Inc. Common Stock,$2.30,0.12,5.505%,27877605.00,United States,2017,509432,Technology,Retail: Computer Software & Peripheral Equipment
CVM,Cel-Sci Corporation Common Stock,$8.16,-0.51,-5.882%,347037170.00,United States,,1757395,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$26.60,0.5276,2.024%,25699111.00,United States,,9672,Consumer Non-Durables,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$3.24,-0.08,-2.41%,39626130.00,United States,,34012,Capital Goods,Military/Government/Technical
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.55,0.01,0.394%,263943875.00,United States,1998,592544,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$146.8156,0.4656,0.318%,80949571.00,United States,,144,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$30.38,0.19,0.629%,211890171.00,United States,,14382,Consumer Non-Durables,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$9.29,-0.05,-0.535%,192786145.00,United States,1988,45585,Finance,Finance/Investors Services
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.08,0.02,1.887%,869297865.00,Canada,,15172609,Basic Industries,Other Metals and Minerals
DPW,Ault Global Holdings Inc. Common Stock,$2.43,0.13,5.652%,120952127.00,United States,,26752916,Capital Goods,Industrial Machinery/Components
DSS,Document Security Systems Inc. Common Stock,$1.59,-0.04,-2.454%,105687499.00,United States,,1922905,Consumer Services,Recreational Products/Toys
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$1.71,-0.08,-4.469%,35703410.00,China,,316647,Consumer Non-Durables,Apparel
DXR,Daxor Corporation Common Stock,$10.66,-0.28,-2.559%,43001129.00,United States,,38953,Health Care,Medical/Dental Instruments
EAD,Wells Fargo Income Opportunities Fund Common Shares,$8.81,0.01,0.114%,533764545.00,United States,2003,224957,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$15.37,0.23,1.519%,207486669.00,United States,1986,84695,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$26.15,-0.05,-0.191%,,United States,,483,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$13.78,-0.01,-0.073%,991514876.00,United States,2002,88458,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$3.97,-0.16,-3.874%,106889793.00,United States,,43910,Consumer Services,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$30.30,0.20,0.664%,389034638.00,Israel,,1336,Public Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$11.59,-0.22,-1.863%,100107698.00,United States,2011,36589,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$2.96,-0.19,-6.032%,213921944.00,United States,,267786,Capital Goods,Industrial Machinery/Components
EMX,EMX Royalty Corporation Common Shares (Canada),$2.97,-0.08,-2.623%,254369060.00,Canada,,176255,Basic Industries,Precious Metals
ENSV,Enservco Corporation Common Stock,$1.50,-0.04,-2.597%,17149089.00,United States,,216742,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.88,-0.01,-0.078%,233363627.00,United States,2002,22108,Finance,Finance/Investors Services
EPM,Evolution Petroleum Corporation Inc. Common Stock,$4.93,0.00,0.00%,165191738.00,United States,,69958,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$6.75,0.04,0.596%,2017409510.00,Canada,,1396394,Basic Industries,Precious Metals
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,$12.85,0.03,0.234%,360668647.00,United States,2003,61149,Finance,Finance/Investors Services
