Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ERH,Wells Fargo Utilities and High Income Fund,$14.14,-0.01,-0.071%,131238430.00,,2004,7508,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$15.12,0.12,0.80%,40863811.00,United States,,855,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$36.97,-0.33,-0.885%,200880340.00,United States,,11545,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$29.77,-0.23,-0.767%,364925810.00,United States,,23167,Capital Goods,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.21,-0.02,-0.164%,305180879.00,United States,2002,26256,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$13.18,-0.03,-0.227%,1530817697.00,United States,2003,419743,Finance,Finance/Investors Services
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,$15.10,-0.04,-0.264%,81567603.00,United States,1999,3720,Finance,Finance/Investors Services
EXN,Excellon Resources Inc. Common Shares,$2.25,0.00,0.00%,72860882.00,,2020,13537,Basic Industries,Precious Metals
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.38,0.00,0.00%,1084907464.00,United States,1986,640784,Finance,Investment Managers
FCO,Aberdeen Global Income Fund Inc. Common Stock,$9.25,0.06,0.653%,80810886.00,United States,1992,21797,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$14.94,0.07,0.471%,290516816.00,United States,2004,96065,Finance,Finance/Investors Services
FRD,Friedman Industries Inc. Common Stock,$12.91,0.25,1.975%,89154511.00,United States,,99955,Basic Industries,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$4.27,-0.06,-1.386%,52588235.00,Canada,,87723,Capital Goods,Recreational Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$5.31,-0.07,-1.301%,569912737.00,United States,,319648,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$9.23,0.04,0.435%,278181447.00,United States,2003,115774,Finance,Finance/Investors Services
FTSI,FTS International Inc. Class A Common Stock,$25.78,-0.46,-1.753%,360661427.00,United States,2020,70425,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$1.105,-0.035,-3.07%,130313460.00,,2020,192020,Basic Industries,Precious Metals
GAU,Galiano Gold Inc.,$1.04,-0.01,-0.952%,233660046.00,Canada,,533968,Basic Industries,Precious Metals
GBR,New Concept Energy Inc Common Stock,$4.96,-0.19,-3.689%,25454393.00,United States,,714457,Consumer Services,Real Estate
GDP,Goodrich Petroleum Corporation Common Stock,$16.93,0.18,1.075%,226900787.00,United States,2017,169496,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$4.00,-0.02,-0.498%,615920540.00,United States,2005,532698,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.54,0.10,0.393%,,United States,,1435,,
GGO,The Gabelli Go Anywhere Trust Common Shares of Beneficial Interest,$16.26,0.00,0.00%,25153440.00,,2016,33,Finance,Trusts Except Educational Religious and Charitable
GGO^A,The Gabelli Go Anywhere Trust Series A Cumulative Puttable and Callable Preferred Shares,$40.43,0.05,0.124%,,,,300,,
GLDG,GoldMining Inc. Common Shares,$1.37,0.01,0.735%,204830591.00,,,202638,Basic Industries,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$12.44,0.12,0.974%,404407370.00,United States,2006,284574,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$15.07,0.06,0.40%,204291557.00,United States,2005,177137,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$21.61,0.05,0.232%,116123021.00,United States,2004,5952,Finance,Finance/Investors Services
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$51.7834,0.00,0.00%,,United States,,103,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$11.31,0.06,0.533%,97703776.00,United States,2004,69839,Finance,Finance/Investors Services
GOED,1847 Goedeker Inc. Commom Stock,$3.39,0.01,0.296%,349570983.00,United States,2020,5065832,Consumer Services,Home Furnishings
GORO,Gold Resource Corporation Common Stock,$2.32,-0.01,-0.429%,172698956.00,United States,,539297,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.586,-0.0014,-0.238%,208264270.00,Canada,,888922,Basic Industries,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.186,0.0446,0.488%,37426713.00,United States,,998,Finance,Finance/Investors Services
GROY,Gold Royalty Corp. Common Shares,$5.08,-0.06,-1.167%,211436443.00,,2021,166944,,
GSAT,Globalstar Inc. Common Stock,$1.69,-0.10,-5.587%,3028480000.00,United States,2006,17515425,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$2.61,0.06,2.353%,299347328.00,United States,,704702,Basic Industries,Precious Metals
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.56,0.0264,4.948%,200186675.00,Canada,,905308,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GTE,Gran Tierra Energy Inc. Common Stock,$0.716,0.0011,0.154%,262758794.00,Canada,,4440122,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,$26.19,-0.345,-1.30%,,United States,,15512,,
HMG,HMG/Courtland Properties Inc. Common Stock,$16.42,0.07,0.428%,16539012.00,United States,,1319,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Fund Inc.,$15.27,0.015,0.098%,127241703.00,United States,2007,84555,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$1.95,-0.01,-0.51%,19350509.00,United States,,1519931,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$79.99,0.00,0.00%,,United States,,106,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$6.52,0.00,0.00%,151942673.00,United States,,149221,Finance,Finance/Investors Services
IBIO,iBio Inc. Common Stock,$1.35,0.00,0.00%,294097964.00,United States,,2422544,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$6.96,0.10,1.458%,230887254.00,United States,2017,56677,Miscellaneous,Diversified Commercial Services
IGC,India Globalization Capital Inc. Common Stock,$1.48,-0.03,-1.987%,71524364.00,United States,,700052,Technology,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$5.95,-0.34,-5.405%,52693521.00,United States,,163860,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$1.96,-0.07,-3.448%,41812061.00,United States,1997,169264,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,$28.65,-0.12,-0.417%,21031299031.00,Canada,,340924,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$5.71,0.08,1.421%,42413623.00,,2019,2498,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$18.92,-0.12,-0.63%,387269639.00,United States,,69494,Health Care,Medical/Dental Instruments
INTT,inTest Corporation Common Stock,$15.55,-0.73,-4.484%,167117887.00,United States,1997,142752,Technology,Semiconductors
INUV,Inuvo Inc.,$0.8626,-0.0514,-5.624%,102232078.00,United States,,2423375,Technology,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$12.14,-0.21,-1.70%,50604546.00,United States,,129,Finance,Diversified Financial Services
ISDR,Issuer Direct Corporation Common Stock,$28.58,0.81,2.917%,107631566.00,United States,,20947,Technology,EDP Services
ISR,IsoRay Inc. Common Stock (DE),$0.742,-0.0327,-4.221%,104967227.00,United States,,971005,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$0.4196,-0.0169,-3.872%,41561338.00,China,,1605176,Basic Industries,Paper
ITRG,Integra Resources Corp. Common Shares,$2.88,0.06,2.128%,157861503.00,,,28092,,
JOB,GEE Group Inc. Common Stock,$0.5678,-0.0838,-12.861%,64445558.00,United States,,17532288,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.6403,-0.0188,-2.852%,34749136.00,Canada,,761934,,
KLR,Kaleyra Inc. Common Stock,$12.46,0.05,0.403%,390089407.00,United States,2018,187213,Technology,Internet and Information Services
KULR,KULR Technology Group Inc. Common Stock,$2.27,-0.03,-1.304%,213941144.00,United States,,384693,,
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$2.72,-0.04,-1.449%,407949264.00,United States,,769674,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$24.84,-0.49,-1.934%,344089517.00,United States,2014,60578,,
LGL,LGL Group Inc. (The) Common Stock,$10.5156,0.3156,3.094%,55440388.00,United States,,9405,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$83.88,-2.82,-3.253%,21266711324.00,United States,,1359830,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$3.02,-0.15,-4.732%,128215655.00,United States,,777755,Finance,Real Estate
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$4.68,-0.10,-2.092%,121946245.00,United States,2017,26239,Miscellaneous,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$28.72,-0.73,-2.479%,258218763.00,,2020,41373,Consumer Non-Durables,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$22.15,-0.25,-1.116%,634590080.00,United Kingdom,2012,57301,Capital Goods,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$20.62,0.06,0.292%,1955599645.00,Canada,,312724,Basic Industries,Precious Metals
MCF,Contango Oil & Gas Company Common Stock (TX),$4.32,-0.01,-0.231%,868628478.00,United States,,633716,Energy,Oil & Gas Production
MHH,Mastech Digital Inc Common Stock,$15.74,0.79,5.284%,179924758.00,United States,,84856,Consumer Services,Professional Services
MITQ,Moving iMage Technologies Inc. Common Stock,$7.20,-3.64,-33.579%,0.00,United States,2021,2471863,,
MLSS,Milestone Scientific Inc. Common Stock,$1.99,-0.13,-6.132%,132842838.00,United States,2015,261806,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$5.31,-0.02,-0.375%,749861123.00,,,94524,Basic Industries,Precious Metals
MSN,Emerson Radio Corporation Common Stock,$1.42,-0.08,-5.333%,29880566.00,United States,,656065,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$8.57,-0.21,-2.392%,366911866.00,,,89500,Basic Industries,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.762,-0.0162,-2.082%,155664387.00,United States,2017,639692,Health Care,Major Pharmaceuticals
MXC,Mexco Energy Corporation Common Stock,$9.83,-0.41,-4.004%,20413627.00,United States,,76186,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$9.15,-0.54,-5.573%,51276810.00,United States,2017,17827,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.4355,-0.0167,-3.693%,223368036.00,Canada,,4897335,Basic Industries,Precious Metals
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$1.775,-0.055,-3.005%,51520106.00,United States,,56277,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBA,New Beginnings Acquisition Corp. Common Stock,$9.99,-0.01,-0.10%,149050800.00,,2020,26623,,
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$16.13,-0.07,-0.432%,303535888.00,United States,2002,38507,Finance,Finance/Investors Services
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$13.38,-0.1316,-0.974%,67935839.00,United States,2002,4713,Finance,Finance/Investors Services
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$14.8298,-0.0202,-0.136%,82320872.00,United States,2002,4044,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.607,-0.0081,-1.317%,25459148.00,United States,2007,1005768,Health Care,Major Pharmaceuticals
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$61.25,0.00,0.00%,223727630.00,United States,,83,Consumer Services,Building operators
NES,Nuverra Environmental Solutions Inc. Common Stock,$2.1033,0.0133,0.636%,33652968.00,United States,2017,2244,Public Utilities,Water Supply
NEWP,New Pacific Metals Corp. Common Shares,$4.19,-0.15,-3.456%,644574709.00,,2021,115482,Capital Goods,Medical Specialities
NG,Novagold Resources Inc.,$8.22,0.01,0.122%,2723542332.00,Canada,,918041,Basic Industries,Precious Metals
NGD,New Gold Inc.,$1.72,0.02,1.176%,1170804000.00,Canada,,3311764,Basic Industries,Precious Metals
NHC,National HealthCare Corporation Common Stock,$71.41,-0.68,-0.943%,1099224127.00,United States,,24251,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$13.29,0.11,0.835%,259694375.00,United States,,38349,Finance,Trusts Except Educational Religious and Charitable
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$4.86,-0.07,-1.42%,275362390.00,,2013,90774,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$4.00,0.01,0.251%,46020000.00,United States,,30340,Health Care,Major Pharmaceuticals
NOG,Northern Oil and Gas Inc. Common Stock,$19.06,-0.44,-2.256%,1260873950.00,United States,,608904,Energy,Oil & Gas Production
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$5.10,-0.10,-1.923%,241844045.00,United States,2003,252016,Finance,Finance/Investors Services
NTIP,Network-1 Technologies Inc. Common Stock,$3.33,0.04,1.216%,80310040.00,United States,,4051,Capital Goods,Telecommunications Equipment
NXE,Nexgen Energy Ltd. Common Shares,$3.96,-0.10,-2.463%,1863908319.00,,,1714751,Basic Industries,Precious Metals
OGEN,Oragenics Inc. Common Stock,$0.6277,-0.0048,-0.759%,72586140.00,United States,,1179737,Health Care,Major Pharmaceuticals
OPTT,Ocean Power Technologies Inc. Common Stock,$2.13,-0.08,-3.62%,108599669.00,United States,2007,1567701,Capital Goods,Industrial Machinery/Components
ORLA,Orla Mining Ltd. Common Shares,$3.775,-0.025,-0.658%,897268519.00,,2020,87273,Basic Industries,Precious Metals
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$28.90,-0.34,-1.163%,,United States,,3245,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$26.50,-0.10,-0.376%,,United States,,107,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$27.14,0.00,0.00%,,United States,,25,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$25.90,0.00,0.00%,,United States,,142,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$25.00,0.00,0.00%,,United States,,10,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$24.2499,0.00,0.00%,,United States,,200,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$23.19,-0.45,-1.904%,,United States,,100,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$24.30,0.06,0.248%,,United States,,937,,
PED,Pedevco Corp. Common Stock,$1.35,-0.09,-6.25%,107273164.00,United States,,337277,,
